model,gene_id,kegg_orthology,ecnumber,subsystem,description,isHuman,seedID,genome_accession,ncbiid,ko_description
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K03342,4.1.3.38,Folate metabolism, 4-aminobenzoate synthase,False,rxn03841,GCF_000019825.1,512566,para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K01664,2.6.1.85,Folate metabolism, 4-amino-4-deoxychorismate synthase,False,rxn01257,GCF_000019825.1,512566,para-aminobenzoate synthetase component II [EC:2.6.1.85]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K01665,2.6.1.85,Folate metabolism, 4-amino-4-deoxychorismate synthase,False,rxn01257,GCF_000019825.1,512566,para-aminobenzoate synthetase component I [EC:2.6.1.85]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K03342,2.6.1.85,Folate metabolism, 4-amino-4-deoxychorismate synthase,False,rxn01257,GCF_000019825.1,512566,para-aminobenzoate synthetase / 4-amino-4-deoxychorismate lyase [EC:2.6.1.85 4.1.3.38]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K13950,2.6.1.85,Folate metabolism, 4-amino-4-deoxychorismate synthase,False,rxn01257,GCF_000019825.1,512566,para-aminobenzoate synthetase [EC:2.6.1.85]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K01656,4.1.3.27,Tryptophan metabolism,Anthranilate synthase,False,rxn00727,GCF_000019825.1,512566,anthranilate synthase / indole-3-glycerol phosphate synthase [EC:4.1.3.27 4.1.1.48]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K01657,4.1.3.27,Tryptophan metabolism,Anthranilate synthase,False,rxn00727,GCF_000019825.1,512566,anthranilate synthase component I [EC:4.1.3.27]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K01658,4.1.3.27,Tryptophan metabolism,Anthranilate synthase,False,rxn00727,GCF_000019825.1,512566,anthranilate synthase component II [EC:4.1.3.27]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K13497,4.1.3.27,Tryptophan metabolism,Anthranilate synthase,False,rxn00727,GCF_000019825.1,512566,anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K13501,4.1.3.27,Tryptophan metabolism,Anthranilate synthase,False,rxn00727,GCF_000019825.1,512566,anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K13503,4.1.3.27,Tryptophan metabolism,Anthranilate synthase,False,rxn00727,GCF_000019825.1,512566,anthranilate synthase [EC:4.1.3.27]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K01656,4.1.3.27,Tryptophan metabolism,Anthranilate synthase 2,False,rxn00726,GCF_000019825.1,512566,anthranilate synthase / indole-3-glycerol phosphate synthase [EC:4.1.3.27 4.1.1.48]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K01657,4.1.3.27,Tryptophan metabolism,Anthranilate synthase 2,False,rxn00726,GCF_000019825.1,512566,anthranilate synthase component I [EC:4.1.3.27]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K01658,4.1.3.27,Tryptophan metabolism,Anthranilate synthase 2,False,rxn00726,GCF_000019825.1,512566,anthranilate synthase component II [EC:4.1.3.27]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K13497,4.1.3.27,Tryptophan metabolism,Anthranilate synthase 2,False,rxn00726,GCF_000019825.1,512566,anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K13501,4.1.3.27,Tryptophan metabolism,Anthranilate synthase 2,False,rxn00726,GCF_000019825.1,512566,anthranilate synthase / indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.3.27 4.1.1.48 5.3.1.24]
Streptococcus_pneumoniae_G54,512566.5.peg.1792,K13503,4.1.3.27,Tryptophan metabolism,Anthranilate synthase 2,False,rxn00726,GCF_000019825.1,512566,anthranilate synthase [EC:4.1.3.27]
Streptococcus_pneumoniae_G54,512566.5.peg.1565,K13938,1.5.1.3,Folate metabolism,Dihydrofolate Reductase,True,rxn00686,GCF_000019825.1,512566,dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.50 1.5.1.3]
Streptococcus_pneumoniae_G54,512566.5.peg.1083,K00953,2.7.7.2,Vitamin B2 metabolism,FMN Adenylyltransferase,True,rxn00122,GCF_000019825.1,512566,FAD synthetase [EC:2.7.7.2]
Streptococcus_pneumoniae_G54,512566.5.peg.1083,K11753,2.7.7.2,Vitamin B2 metabolism,FMN Adenylyltransferase,True,rxn00122,GCF_000019825.1,512566,riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
Streptococcus_pneumoniae_G54,512566.5.peg.1083,K14656,2.7.7.2,Vitamin B2 metabolism,FMN Adenylyltransferase,True,rxn00122,GCF_000019825.1,512566,FAD synthetase [EC:2.7.7.2]
Streptococcus_pneumoniae_G54,512566.5.peg.1083,K00861,2.7.1.26,Vitamin B2 metabolism,Riboflavin Kinase,True,rxn00392,GCF_000019825.1,512566,riboflavin kinase [EC:2.7.1.26]
Streptococcus_pneumoniae_G54,512566.5.peg.1083,K11753,2.7.1.26,Vitamin B2 metabolism,Riboflavin Kinase,True,rxn00392,GCF_000019825.1,512566,riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
Streptococcus_pneumoniae_G54,g.1878.peg.1944,,,CoA synthesis,2 dehydropantoate formaldehyde lyase 3 methyl 2 oxobutanoate forming,False,rxn00905,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,g.1878.peg.1944,K01479,3.5.3.8,Histidine metabolism,Formimidoylglutamase,False,rxn01639,GCF_000019825.1,512566,formiminoglutamase [EC:3.5.3.8]
Streptococcus_pneumoniae_G54,g.1878.peg.1944,K00606,2.1.2.11,CoA synthesis, 3-methyl-2-oxobutanoate hydroxymethyltransferase,False,rxn00912,GCF_000019825.1,512566,3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]
Streptococcus_pneumoniae_G54,512566.5.peg.699,K00877,2.7.1.49,Thiamine metabolism,Hydroxymethylpyrimidine kinase (ATP),False,rxn02484,GCF_000019825.1,512566,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase [EC:2.7.1.49 2.7.4.7 3.5.99.2]
Streptococcus_pneumoniae_G54,512566.5.peg.699,K00941,2.7.1.49,Thiamine metabolism,Hydroxymethylpyrimidine kinase (ATP),False,rxn02484,GCF_000019825.1,512566,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
Streptococcus_pneumoniae_G54,512566.5.peg.699,K14153,2.7.1.49,Thiamine metabolism,Hydroxymethylpyrimidine kinase (ATP),False,rxn02484,GCF_000019825.1,512566,hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]
Streptococcus_pneumoniae_G54,512566.5.peg.699,K00877,2.7.4.7,Thiamine metabolism,Phosphomethylpyrimidine kinase,False,rxn03108,GCF_000019825.1,512566,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase / thiaminase [EC:2.7.1.49 2.7.4.7 3.5.99.2]
Streptococcus_pneumoniae_G54,512566.5.peg.699,K00941,2.7.4.7,Thiamine metabolism,Phosphomethylpyrimidine kinase,False,rxn03108,GCF_000019825.1,512566,hydroxymethylpyrimidine/phosphomethylpyrimidine kinase [EC:2.7.1.49 2.7.4.7]
Streptococcus_pneumoniae_G54,512566.5.peg.1493,K02111,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.1493,K02112,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.1500,K02111,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.1500,K02112,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.1280,K02111,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.1280,K02112,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.1501,K02111,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.1501,K02112,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.1497,K02111,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit alpha [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.1497,K02112,3.6.3.14,Energy metabolism,ATP synthase (four protons for one ATP),False,rxn10042,GCF_000019825.1,512566,F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
Streptococcus_pneumoniae_G54,512566.5.peg.288,K00796,2.5.1.15,Folate metabolism,Dihydropteroate synthase,False,,GCF_000019825.1,512566,dihydropteroate synthase [EC:2.5.1.15]
Streptococcus_pneumoniae_G54,512566.5.peg.288,K13939,2.5.1.15,Folate metabolism,Dihydropteroate synthase,False,,GCF_000019825.1,512566,dihydroneopterin aldolase / 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:4.1.2.25 2.7.6.3 2.5.1.15]
Streptococcus_pneumoniae_G54,512566.5.peg.288,K13941,2.5.1.15,Folate metabolism,Dihydropteroate synthase,False,,GCF_000019825.1,512566,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase / dihydropteroate synthase [EC:2.7.6.3 2.5.1.15]
Streptococcus_pneumoniae_G54,512566.5.peg.571,K01623,4.1.2.13,Glycolysis/gluconeogenesis,Fructose-Bisphosphate Aldolase,True,rxn00786,GCF_000019825.1,512566,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
Streptococcus_pneumoniae_G54,512566.5.peg.571,K01624,4.1.2.13,Glycolysis/gluconeogenesis,Fructose-Bisphosphate Aldolase,True,rxn00786,GCF_000019825.1,512566,"fructose-bisphosphate aldolase, class II [EC:4.1.2.13]"
Streptococcus_pneumoniae_G54,512566.5.peg.571,K11645,4.1.2.13,Glycolysis/gluconeogenesis,Fructose-Bisphosphate Aldolase,True,rxn00786,GCF_000019825.1,512566,"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]"
Streptococcus_pneumoniae_G54,512566.5.peg.571,K16305,4.1.2.13,Glycolysis/gluconeogenesis,Fructose-Bisphosphate Aldolase,True,rxn00786,GCF_000019825.1,512566,fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.2.1.11]
Streptococcus_pneumoniae_G54,512566.5.peg.571,K16306,4.1.2.13,Glycolysis/gluconeogenesis,Fructose-Bisphosphate Aldolase,True,rxn00786,GCF_000019825.1,512566,"fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4.1.2.13 2.2.1.10]"
Streptococcus_pneumoniae_G54,512566.5.peg.571,K01622,4.1.2.13,Glycolysis/gluconeogenesis,Fructose-Bisphosphate Aldolase,True,rxn00786,GCF_000019825.1,512566,"fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]"
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C12:0),False,rxn08546,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C14:0),False,rxn08547,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C14:1),False,rxn08548,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C16:0),False,rxn08549,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C16:1),False,rxn08550,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C18:0),False,rxn08551,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C18:1),False,rxn08552,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Anteisopentadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10209,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Anteisoheptadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10206,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Isotetradecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10207,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Isopentadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10208,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Isohexadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10210,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,K00629,2.3.1.15,Glycerophospholipid metabolism,Isoheptadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10205,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.1932,,,Cell wall biosynthesis,Hexadecanoyl(palmitoyl)-glycerol-3-phosphate O-acyltransferase,False,rxn10202,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,g.1878.peg.1932,,,Cell wall biosynthesis,Stearoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10204,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,g.1878.peg.1932,,,Cell wall biosynthesis,Tetradecanoyl-CoA(myristoyl)-glycerol-3-phosphate O-acyltransferase,False,rxn10203,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C12:0),False,rxn08546,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C14:0),False,rxn08547,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C14:1),False,rxn08548,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C16:0),False,rxn08549,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C16:1),False,rxn08550,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C18:0),False,rxn08551,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Glycerol-3-phosphate acyltransferase (C18:1),False,rxn08552,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Anteisopentadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10209,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Anteisoheptadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10206,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Isotetradecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10207,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Isopentadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10208,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Isohexadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10210,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,K00629,2.3.1.15,Glycerophospholipid metabolism,Isoheptadecanoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10205,GCF_000019825.1,512566,glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15]
Streptococcus_pneumoniae_G54,g.1878.peg.2051,,,Cell wall biosynthesis,Hexadecanoyl(palmitoyl)-glycerol-3-phosphate O-acyltransferase,False,rxn10202,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,g.1878.peg.2051,,,Cell wall biosynthesis,Stearoyl-glycerol-3-phosphate O-acyltransferase,False,rxn10204,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,g.1878.peg.2051,,,Cell wall biosynthesis,Tetradecanoyl-CoA(myristoyl)-glycerol-3-phosphate O-acyltransferase,False,rxn10203,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,g.1878.peg.1131,K01930,6.3.2.17,Folate metabolism,Folylpolyglutamate Synthetase (10Fthf),True,rxn01210,GCF_000019825.1,512566,folylpolyglutamate synthase [EC:6.3.2.17]
Streptococcus_pneumoniae_G54,g.1878.peg.1131,K01930,6.3.2.17,Folate metabolism,TetrahydrofolateL-glutamate gamma-ligase (ADP-forming),False,rxn00689,GCF_000019825.1,512566,folylpolyglutamate synthase [EC:6.3.2.17]
Streptococcus_pneumoniae_G54,g.1878.peg.1131,K11754,6.3.2.17,Folate metabolism,TetrahydrofolateL-glutamate gamma-ligase (ADP-forming),False,rxn00689,GCF_000019825.1,512566,dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
Streptococcus_pneumoniae_G54,g.1878.peg.1137,K03735,4.3.1.7,Cell wall biosynthesis,Ethanolamine ammonia-lyase,False,rxn00539,GCF_000019825.1,512566,ethanolamine ammonia-lyase large subunit [EC:4.3.1.7]
Streptococcus_pneumoniae_G54,g.1878.peg.1137,K03736,4.3.1.7,Cell wall biosynthesis,Ethanolamine ammonia-lyase,False,rxn00539,GCF_000019825.1,512566,ethanolamine ammonia-lyase small subunit [EC:4.3.1.7]
Streptococcus_pneumoniae_G54,g.1878.peg.1137,K04019,4.3.1.7,Cell wall biosynthesis,Ethanolamine ammonia-lyase,False,rxn00539,GCF_000019825.1,512566,ethanolamine utilization protein EutA
Streptococcus_pneumoniae_G54,512566.5.peg.1587,,2.7.1.35,Vitamin B6 metabolism,Pyridoxal Kinase,True,,GCF_000019825.1,512566,
Streptococcus_pneumoniae_G54,512566.5.peg.174,K00794,2.5.1.9,Vitamin B2 metabolism,Riboflavin synthase,False,rxn03080,GCF_000019825.1,512566,"6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]"
Streptococcus_pneumoniae_G54,g.1878.peg.1222,K00297,1.5.1.20,Folate metabolism,Methylenetetrahydrofolate reductase NADPH2 ,False,rxn00910,GCF_000019825.1,512566,methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]
Streptococcus_pneumoniae_G54,g.1878.peg.1222,K00297,1.5.1.20,Folate metabolism,5-Methyltetrahydrofolate:NAD+ Oxidoreductase / Ec:1.5.1.20,True,rxn04954,GCF_000019825.1,512566,methylenetetrahydrofolate reductase (NADH) [EC:1.5.1.54]
Streptococcus_pneumoniae_G54,g.1878.peg.578,K00975,2.7.7.27,Glycolysis/gluconeogenesis,Glucose-1-phosphate adenylyltransferase,False,rxn00695,GCF_000019825.1,512566,glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]
Streptococcus_pneumoniae_G54,g.1878.peg.488,K01507,3.6.1.1,Oxidative phosphorylation,Inorganic Diphosphatase,True,rxn00001,GCF_000019825.1,512566,inorganic pyrophosphatase [EC:3.6.1.1]
Streptococcus_pneumoniae_G54,g.1878.peg.48,K10524,3.1.3.2,NAD metabolism,NMN phosphatase,False,rxn01671,GCF_000019825.1,512566,nicotinamide/nicotinate riboside kinase [EC:2.7.1.22 2.7.1.173]
Streptococcus_pneumoniae_G54,g.1878.peg.1208,K01785,5.1.3.3,Glycolysis/gluconeogenesis,"Aldose 1-epimerase (glucose), reversible",False,rxn01171,GCF_000019825.1,512566,aldose 1-epimerase [EC:5.1.3.3]
Streptococcus_pneumoniae_G54,512566.5.peg.853,K00882,2.7.1.56,Glycolysis/gluconeogenesis,Fructose-1-phosphate kinase,False,rxn01492,GCF_000019825.1,512566,1-phosphofructokinase [EC:2.7.1.56]
Streptococcus_pneumoniae_G54,g.1878.peg.2172,,,Starch and sucrose metabolism,3 phospho D glyceroyl phosphate alpha D glucose 1 phosphate 6 phosphotransferase,False,rxn01215,GCF_000019825.1,512566,
